Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in",Emory University,"Biology, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Biomedical Engineering, Department of",1,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Cell Biology, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Pathology, Department of",2,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Global Health, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Biostatistics and Bioinformatics, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Emory University,"Biomedical Informatics, Department of",2,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Florida International University,"Architecture, Department of",1,1,2,0,0,0,0,0
"Media Arts and Sciences, Program in",George Mason University,"Policy and Government, School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgetown University,"Management, Division of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Aerospace Engineering, School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",1,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Computational Science and Engineering, School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Literature, Media, and Communication, School of",2,0,0,0,2,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Materials Science and Engineering, School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Mechanical Engineering, School of",1,1,0,0,0,1,3,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Georgia Institute of Technology,"Nuclear & Radiological Engineering and Medical Physics, School of",1,1,0,0,0,1,3,0
"Media Arts and Sciences, Program in",Harvard University,"Biostatistics, Department of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Chemistry and Chemical Biology, Department of",3,10,0,0,0,0,7,0
"Media Arts and Sciences, Program in",Harvard University,"Physics, Department of",2,10,0,0,0,0,1,0
"Media Arts and Sciences, Program in",Harvard University,"Psychology, Department of",3,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Government, John F. Kennedy School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Genetics, Department of",5,14,0,0,0,1,11,0
"Media Arts and Sciences, Program in",Harvard University,"Stem Cell and Regenerative Biology, Department of",3,10,0,0,0,1,11,0
"Media Arts and Sciences, Program in",Harvard University,"Systems Biology, Department of",3,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Social and Behavioral Sciences, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,Materials Science and Mechanical Engineering Area,2,0,0,0,0,1,1,0
"Media Arts and Sciences, Program in",Harvard University,"Immunology and Infectious Diseases, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Epidemiology, Department of",2,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,"Education, Graduate School of",1,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Harvard University,Computer Science Area,1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Harvard University,Bioengineering Area,6,10,0,0,0,1,1,0
"Media Arts and Sciences, Program in",Harvard University,"Biomedical Informatics, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Indiana State University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Indiana University - Bloomington,"Epidemiology and Biostatistics, Department of",2,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Indiana University - Bloomington,"Informatics, Department of",3,2,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Johns Hopkins University,"Psychological and Brain Sciences, Department of",1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Johns Hopkins University,"Biomedical Engineering, Department of",3,4,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Johns Hopkins University,"Electrical and Computer Engineering, Department of",2,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Johns Hopkins University,"Environmental Health and Engineering, Department of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Kansas State University,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Michigan State University,"Chemical Engineering and Materials Science, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Michigan State University,"Computer Science and Engineering, Department of",1,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in",Michigan State University,"Plant, Soil, and Microbial Sciences, Department of",2,1,0,0,0,0,0,0
