Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","University at Albany, State University of New York","Atmospheric and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","Binghamton University, State University of New York","Geological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","Stony Brook University, State University of New York","Marine Sciences, Division of",1,6,0,0,0,0,0,0
"Geology and Geophysics, Department of",SUNY College of Environmental Science and Forestry,"Environmental Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Syracuse University,"Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Syracuse University,"Earth and Environmental Sciences, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Texas A&M University,"Atmospheric Sciences, Department of",2,1,0,0,1,0,0,0
"Geology and Geophysics, Department of",Texas A&M University,"Geology and Geophysics, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Texas A&M University,"Oceanography, Department of",5,6,0,0,5,1,0,0
"Geology and Geophysics, Department of",Texas A&M University,"Marine and Coastal Environmental Science, Department of",1,11,0,0,0,0,0,0
"Geology and Geophysics, Department of",Texas A&M Kingsville,"Physics and Geosciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Tennessee, The","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Tennessee, The","Earth and Planetary Sciences, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Tennessee, The","Microbiology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Texas at Austin, The","Civil, Architectural, and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Texas at Austin, The","Geological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Texas at Austin, The","Marine Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Tufts University,"Chemistry, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Tufts University,"Earth and Climate Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Tulane University,"Earth and Environmental Science, Department of",2,10,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of Alabama, The","Geological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Alaska Fairbanks,"Geosciences, Department of",1,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Alaska Fairbanks,"Fisheries and Ocean Sciences, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Ecology and Evolutionary Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Geosciences, Department of",2,3,0,0,1,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Pharmacy Practice and Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Planetary Sciences, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Natural Resources and the Environment, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Genetics, GIDP",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of Arizona, The","Hydrology and Atmospheric Sciences, Department of",1,0,0,0,1,0,0,0
