Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physics, Department of",Colorado State University,"Electrical and Computer Engineering, Department of",1,32,0,0,4,0,0,0
"Physics, Department of",Colorado State University,"Mathematics, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",Colorado State University,"Physics, Department of",7,67,0,0,1,0,0,0
"Physics, Department of","University at Albany, State University of New York","Physics, Department of",3,13,0,0,0,0,0,0
"Physics, Department of",Santa Clara University,"Physics, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",University of Oklahoma,"Physics and Astronomy, Department of",6,6,0,0,1,0,0,0
"Physics, Department of",University of South Alabama,"Physics, Department of",1,15,0,0,0,0,0,0
"Physics, Department of",University of Notre Dame,"Philosophy, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",University of Notre Dame,"Physics and Astronomy, Department of",23,365,0,0,17,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Astronomy, Department of",12,33,0,0,0,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Electrical and Computer Engineering, Department of",2,2,0,0,0,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Mechanical Engineering, Department of",1,2,0,0,0,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Physics, Department of",27,422,0,0,174,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Statistics, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",University of Wisconsin - Madison,"Nuclear Engineering and Engineering Physics, Department of",4,8,0,0,0,0,0,0
"Physics, Department of",Brown University,"Molecular Biology, Cell Biology and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Physics, Department of",Brown University,"Physics, Department of",7,312,0,0,0,0,0,0
"Physics, Department of",Clemson University,"Physics and Astronomy, Department of",2,2,0,0,0,0,0,0
"Physics, Department of",Washington State University,"Physics and Astronomy, Department of",1,46,0,0,0,0,0,0
"Physics, Department of",University of Louisville,"Physics and Astronomy, Department of",2,49,0,0,0,0,0,0
"Physics, Department of",Old Dominion University,"Physics, Department of",9,40,0,0,0,0,0,0
"Physics, Department of",Wesleyan University,"Astronomy, Department of",1,19,0,0,0,0,0,0
"Physics, Department of",East Tennessee State University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
