Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Urban Studies and Planning, Department of",University of Virginia,"Mechanical and Aerospace Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Washington,"Computer Science & Engineering, Paul G. Allen School of",1,0,0,0,1,0,0,0
"Urban Studies and Planning, Department of",University of Washington,"Urban Design and Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Wisconsin - Madison,"Geography, Department of",1,2,0,0,0,0,0,0
"Urban Studies and Planning, Department of",University of Wisconsin - Madison,"Industrial and Systems Engineering, Department of",1,2,0,0,1,0,0,0
"Urban Studies and Planning, Department of",Vanderbilt University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Washington University in St. Louis,"Energy, Environmental and Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Washington University in St. Louis,Public Health,1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Washington University in St. Louis,"Statistics and Data Science, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Wayne State University,"Urban Studies and Planning, Department of",1,1,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Yale University,"Environment, School of the",1,7,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Yale University,"Social and Behavioral Sciences, Department of",2,3,0,0,0,0,0,0
"Urban Studies and Planning, Department of",Rutgers - Camden,"Business - Camden, School of",1,1,0,0,0,0,0,0
